日期,时间,纬度,经度,深度,震级,位置,Year
2016-09-23,00:47:12,30.09,99.64,19,4.9,四川甘孜州理塘县,2016
2016-09-21,00:21:15,30.58,142.26,10,6.2,日本本州东南,2016
2016-09-20,15:18:12,49.82,88.02,5.6,4.8,俄罗斯,2016
2016-09-14,09:58:30,7.2,-76.2,10,5.8,哥伦比亚,2016
2016-09-10,18:09:37,39.69,118.32,9.7,4,河北唐山市开平区,2016
2016-09-09,08:30:00,41.4,129.1,0,5,朝鲜（疑爆）,2016
2016-09-09,05:46:20,-54.65,158.6,10,6.1,麦夸里岛地区,2016
2016-09-06,06:54:06,54.6,168.33,10,6.1,科曼多尔群岛地区,2016
2016-09-02,00:37:59,-37.4,179.1,30,6.9,新西兰北岛附近海域,2016
2016-08-31,17:25:01,34.31,86.28,6.3,4.6,西藏那曲地区尼玛县,2016
2016-08-31,11:11:36,-3.69,152.78,490,6.7,新爱尔兰地区,2016
2016-08-29,12:29:59,-0.1,-17.8,10,6.9,阿森松岛以北海域,2016
2016-08-27,15:50:34,39.69,118.38,10,3.1,河北唐山市古冶区,2016
2016-08-26,01:04:42,30.5,137.96,460,5.9,日本本州东南,2016
2016-08-24,21:48:45,-2.89,100.1,20,5.9,印尼苏门答腊岛南部海域,2016
2016-08-24,18:34:54,21,94.67,90,6.9,缅甸,2016
2016-08-24,09:36:33,42.7,13.1,10,6.1,意大利,2016
2016-08-22,04:07:30,39.69,118.34,7.8,3.2,河北唐山市开平区,2016
2016-08-21,23:58:04,40.31,143.72,10,6.2,日本本州东岸远海,2016
2016-08-20,17:01:25,40.45,143.55,10,6.2,日本本州东岸远海,2016
2016-08-19,15:32:23,-55.3,-31.9,10,7.5,南乔治亚岛地区,2016
2016-08-14,19:15:15,50.32,142.41,10,6.1,俄罗斯萨哈林岛,2016
2016-08-13,16:29:47,37.74,101.53,10,4.6,青海海北州门源县,2016
2016-08-13,02:00:55,40.69,78.23,6.4,4.7,新疆克孜勒苏州阿合奇县,2016
2016-08-12,14:56:54,27.03,103.37,13,4.5,云南昭通市巧家县,2016
2016-08-12,11:29:27,-25.11,-177.1,80,6,斐济群岛以南,2016
2016-08-12,09:26:34,-22.52,173.16,10,7.2,洛亚蒂群岛东南,2016
2016-08-12,08:46:23,34.4,86.21,3.7,4.5,西藏那曲地区尼玛县,2016
2016-08-05,00:24:33,25,141.97,520,6.1,日本火山列岛地区,2016
2016-08-04,22:15:10,-22.32,-65.9,250,6,阿根廷,2016
2016-07-31,19:33:22,-56.3,-27.56,100,5.8,南桑威奇群岛地区,2016
2016-07-31,17:18:11,24.08,111.56,10,5.4,广西梧州市苍梧县,2016
2016-07-30,05:18:23,18.44,145.56,200,7.8,马利亚纳群岛,2016
2016-07-29,22:02:48,21.86,99.79,8.2,4.8,缅甸,2016
2016-07-26,03:38:42,-2.9,148.13,10,6.3,阿德默勒尔蒂群岛地区,2016
2016-07-26,01:26:49,-26.23,-70.31,60,6.1,智利,2016
2016-07-25,16:58:29,-49.57,126.29,10,6,西印度洋南极洲海岭,2016
2016-07-23,09:00:21,47.74,146.92,410,5.9,千岛群岛西北,2016
2016-07-20,23:13:15,-18.95,169.01,160,5.9,瓦努阿图群岛,2016
2016-07-19,20:32:53,41.42,79.13,6.2,4.5,新疆阿克苏地区乌什县,2016
2016-07-13,20:11:11,-27.93,-176.43,10,6.5,克马德克群岛地区,2016
2016-07-13,14:45:47,49.87,89.72,6.3,5,蒙古,2016
2016-07-11,10:01:09,0.6,-79.7,20,5.7,厄瓜多尔,2016
2016-06-30,19:30:34,-16.09,167.42,40,5.8,瓦努阿图,2016
2016-06-29,05:38:02,39.46,73.29,7,5.5,吉尔吉斯斯坦,2016
2016-06-28,03:28:48,39.4,73.48,7.6,4.7,塔吉克斯坦,2016
2016-06-27,18:13:05,31.89,104.38,13.5,4.6,四川绵阳市北川县,2016
2016-06-26,19:17:11,39.43,73.4,10,6.7,吉尔吉斯斯坦,2016
2016-06-23,08:37:34,40.95,114.2,14,4,河北张家口市尚义县,2016
2016-06-22,00:26:34,22.57,-44.9,10,6,中大西洋海岭北部,2016
2016-06-20,02:20:58,20.61,120.72,10,4.9,南海海域,2016
2016-06-19,17:47:20,-20.45,169.5,10,6.3,瓦努阿图,2016
2016-06-19,11:05:12,42.17,81.43,14.7,4.5,新疆阿克苏地区拜城县,2016
2016-06-14,21:49:23,-18.75,168.84,120,6.2,瓦努阿图,2016
2016-06-10,12:17:43,-8.65,160.47,40,6,所罗门群岛,2016
2016-06-10,11:25:22,13,-87,10,6.1,尼加拉瓜,2016
2016-06-09,12:13:08,-11.36,116.27,10,6,印度尼西亚,2016
2016-06-08,03:15:16,1.32,126.33,50,6.3,马鲁古海,2016
2016-06-07,18:51:40,18.47,-105.13,20,6.2,墨西哥西海岸远海,2016
2016-06-06,10:35:25,-30.15,-177.78,10,6.1,新西兰克马德克群岛,2016
2016-06-06,00:25:33,-4.59,125.66,450,6.3,印尼班达海,2016
2016-06-02,06:55:59,-2.1,100.7,60,6.4,印尼苏门答腊岛南部海域,2016
2016-05-31,13:23:49,25.43,122.41,239,6.2,台湾新北市海域,2016
2016-05-28,17:47:00,-56.2,-27.1,70,7.2,南桑威奇群岛地区,2016
2016-05-28,13:38:49,-21.95,-178.2,400,6.5,斐济群岛地区,2016
2016-05-27,12:08:42,-20.8,-178.65,570,6.2,斐济群岛地区,2016
2016-05-22,17:08:06,41.62,120.1,6,4.6,辽宁朝阳市朝阳县,2016
2016-05-22,10:05:54,28.41,87.59,6,5.3,西藏日喀则市定日县,2016
